"Regen_Plot","ID","Fire","Date","Observers","Year.of.Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG..BASAL..10.","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY.VEG","TREE_live.only","BAF","BA.Total1","BA.Live1","BA.Dead1","dominant_shrub_ht_cm","seed_tree_distance_general","fire.prefix","seed_tree_distance_conifer","seed_tree_distance_hardwood","seed_wall_distance","dominant_tree_1","dominant_tree_2","dominant_tree_3","fire_killed_trees_2.15","fire_killed_trees_15.30","fire_killed_trees_30.45","fire_killed_trees_45.60","fire_killed_trees_60.","dominant_shrub_1","dominant_shrub_2","new_or_revisit","burn_or_control","revisit_relocated_precisely","entered_by","entered_on","dominant_shrub_3"
"AMR1300014",2292,"AMERICAN RIVER","7/2/2013 0:00:00","CP, MS, NO, PB",2008,"951 NO","NAD83 UTM zone 10",706014.84,4326801.15,36,29,"GRANITE","",4,5,0.5,87,4,6,0.5,3,0,33,0,30,"1",1,"",NA,NA,0,2,9,9,0,"BAF 5",3,10,33,5,45,45,0,35,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300022",2293,"AMERICAN RIVER","7/2/2013 0:00:00","CP, MS, NO, PB",2008,"952 NO","NAD83 UTM zone 10",706014.29,4326999.89,304,24,"GRANITE","",0.5,4,0.5,90,6,5,0.5,0,0,0,0,1,"1",2,"",NA,NA,0,2,10,8,2,"",0.5,5,0,20,200,160,40,101,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300030",2294,"AMERICAN RIVER","7/2/2013 0:00:00","CP, MS, NO, PB",2008,"953 NO","NAD83 UTM zone 10",706001.53,4327205.55,342,33,"GRANITE","",0.5,0.5,2,87,10,20,0.5,1,0,65,0,60,"1",0,"",NA,NA,0,2,10,10,0,"LOOK UNBURNED",1,30,65,20,200,200,0,58,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300032",2295,"AMERICAN RIVER","7/2/2013 0:00:00","CP, MS, NO, PB",2008,"32 AMR CPP","NAD83 UTM zone 10",706209.01,4327202.08,0,35,"GRANITE","",0.5,0.5,1,98,1,30,0.5,0,0,80,10,80,"1",2,"",NA,NA,0,3,8,8,0,"",0.5,30,80,20,160,160,0,130,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300034",2296,"AMERICAN RIVER","7/2/2013 0:00:00","CP, MS, NO, PB",2008,"957 NO","NAD83 UTM zone 10",706400.32,4327221.79,234,15,"GRANITE","",0,0.5,1,97,2,18,10,0.5,4,70,0,50,"1",1,"",NA,NA,0.5,3,8,8,0,"A FEW STUMPS PRESENT OUTSIDE PLOT- SALVAGE LOGGING",10,55,70,20,160,160,0,130,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300052",2297,"AMERICAN RIVER","7/2/2013 0:00:00","CP, MS, NO, PB",2008,"958 NO","NAD83 UTM zone 10",706398.38,4327412.29,185,25,"GRANITE","",0.5,1,1,94,4,5,0.5,12,0.5,78,0,75,"1",1,"",NA,NA,0.5,2,8,8,0,"SMALL STUMPS OUTSIDE PLOT IS WHY THERE ARE NO SNAGS, AND BUMPS UP THE CWD COVER.",12,25,78,20,160,160,0,70,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300054",2298,"AMERICAN RIVER","7/2/2013 0:00:00","CP, MS, NO, PB",2008,"54 AMR CPP","NAD83 UTM zone 10",706600.57,4327417.34,242,28,"GRANITE","",5,8,1,83,3,35,0,2,0,4,0,25,"1",2,"",NA,NA,0,0.5,6,3,3,"BAF 5",2,65,4,5,30,15,15,60,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300056",2299,"AMERICAN RIVER","7/1/2013 0:00:00","CP, MS, NO, PB",2008,"56 AMR CPP","NAD83 UTM zone 10",706798.91,4327416.8,94,22,"GRANITE","",0,1,1,93,5,8,0.5,0,0,15,2,15,"1",3,"",NA,NA,0.5,2,14,4,10,"",0,9,15,20,280,80,200,85,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300069",2300,"AMERICAN RIVER","7/2/2013 0:00:00","CP, MS, NO, PB",2008,"69 AMR CPP","NAD83 UTM zone 10",706790.69,4327627.62,247,23,"GRANITE","",5,5,5,85,0.5,10,3,1,0,75,5,70,"1",2,"",NA,NA,0.5,1,7,6,1,"BAF 10",4,20,75,10,70,60,10,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300080",2301,"AMERICAN RIVER","7/11/2013 0:00:00","CP, MS, RD, PB",2008,"5717 RD","NAD83 UTM zone 10",701819.93,4338652.73,149,8,"GRANITE","",0,0,1,94,5,53,0,2,0,15,0,15,"1",0,"",NA,NA,NA,NA,NA,NA,NA,"BAF 10, SALVAGE LOGGING, PLOT APPEARS UNBURNED",2,55,15,10,0,NA,0,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300087",2302,"AMERICAN RIVER","7/11/2013 0:00:00","CP, MS, RD, PB",2008,"5718 RD","NAD83 UTM zone 10",702214.4,4338871.98,267,13,"GRANITE","",0,1,1,93,5,75,0,0,0,2,0,2,"1",0,"",NA,NA,0,2,7,7,0,"BAF 10. SALVAGE LOGGING, STUMP IN PLOT. APPEARS UNBURNED.",0,75,2,10,70,70,0,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300091",2303,"AMERICAN RIVER","7/11/2013 0:00:00","CP, MS, RD, PB",2008,"5713 RD","NAD83 UTM zone 10",701811.1,4339054.86,107,20,"GRANITE","",1,1,0.5,96,2,74,0,1,0,0.5,0,15,"1",0,"",NA,NA,0,1,7,7,0,"BAF 10 APPEARS UNBUNED",1,75,15,10,70,70,0,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300093",2304,"AMERICAN RIVER","7/11/2013 0:00:00","CP, MS, RD, PB",2008,"5711 RD","NAD83 UTM zone 10",702206.94,4339075.35,213,45,"GRANITE","",0,0,1,84,15,10,0,0,0,25,0,25,"1",0,"",NA,NA,0.5,3,10,9,1,"BAF 10, APPEARS UNBURNED, MANAGED AREA",0,10,25,10,100,90,10,135,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300094",2305,"AMERICAN RIVER","7/11/2013 0:00:00","CP, MS, RD, PB",2008,"5710 RD","NAD83 UTM zone 10",702408.69,4339073.23,118,20,"GRANITE","",0,0,1,97,2,26,64,0,0,15,0,15,"1",0,"",NA,NA,0,3,8,6,2,"BAF 5.  STUMPS IN STAND, MANAGED AREA. APPEARS UNBURNED",64,90,15,5,40,30,10,60,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300095",2306,"AMERICAN RIVER","7/11/2013 0:00:00","CP, MS, RD, PB",2008,"5709 RD","NAD83 UTM zone 10",702609.2,4339088.35,295,24,"GRANITE","",0,0,0,95,5,30,2,0,0,15,0,18,"1",0,"",NA,NA,0,2,8,8,0,"BAF 10. SALVAGE LOGGING, APPEARS UNBURNED",2,32,15,10,80,80,0,200,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300096",2307,"AMERICAN RIVER","7/8/2013 0:00:00","CP, MS, RD, PB",2008,"2923 CP","NAD83 UTM zone 10",709206.01,4339131.83,275,5,"GRANITE","",0,1,2,96,2,41,0,1,1,50,0,50,"1",0,"",NA,NA,0,9,6,6,0,"BAF 40. APPEARS UNBURNED",1,65,50,40,240,240,0,60,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300105",2308,"AMERICAN RIVER","7/8/2013 0:00:00","CP, MS, RD, PB",2008,"105 AMR CPP","NAD83 UTM zone 10",704003.64,4339331.4,338,2,"GRANITE","",NA,NA,NA,NA,NA,78,1,1,0,25,0,25,"1",0,"",NA,NA,0,2,5,5,0,"BAF 5. APPEARS UNBURNED",1,80,25,5,25,25,0,60,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300106",2310,"AMERICAN RIVER","7/8/2013 0:00:00","CP, MS, RD, PB",2008,"","NAD83 UTM zone 10",704207.47,4339330.33,41,45,"GRANITE","",2,1,4,91,2,20,0,1,0.5,65,3,65,"1",2,"",NA,NA,1,2,NA,NA,NA,"",1,45,65,20,0,NA,0,92,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300113",2311,"AMERICAN RIVER","7/11/2013 0:00:00","CP, MS, RD, PB",2008,"5713 RD","NAD83 UTM zone 10",701795.15,4339460.8,100,3,"GRANITE","",0,0,1,94,5,7,50,2,0,15,0,15,"1",1,"",NA,NA,NA,NA,9,9,0,"SALVAGE LOGGING IN STAND",52,60,15,20,180,180,0,40,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300114",2312,"AMERICAN RIVER","7/11/2013 0:00:00","CP, MS, RD, PB",2008,"5712 RD","NAD83 UTM zone 10",701984.5,4339468.09,269,10,"GRANITE","",NA,NA,NA,NA,NA,17,0,3,0,20,0,20,"1",NA,"",NA,NA,1,3,7,7,0,"BAF 10. SALVAGE LOGGING",3,20,20,10,70,70,0,60,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300118",2313,"AMERICAN RIVER","7/8/2013 0:00:00","CP, MS, RD, PB",2008,"2924","NAD83 UTM zone 10",703985.64,4339331.83,2,23,"GRANITE","",1,0.5,1,86,12,1,50,0,0.5,35,2,30,"1",2,"",NA,NA,0,4,6,4,2,"BAF 40. BITTER DOGSBANE IS MAIN FORB.",50,70,35,40,240,160,80,35,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300123",2314,"AMERICAN RIVER","7/1/2013 0:00:00","CP, MS, NO, PB",2008,"123 AMR CPP","NAD83 UTM zone 10",714003.33,4339862.33,289,28,"GRANITE","",3,3,1,93,0.2,50,3,0.5,0,3,0,1,"1",2,"",NA,NA,0,0.5,7,3,4,"BAF 5",3,53,3,5,35,15,20,120,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300124",2315,"AMERICAN RIVER","7/1/2013 0:00:00","CP, MS, NO, PB",2008,"124 AMR CPP","NAD83 UTM zone 10",714203.4,4339869,78,10,"GRANITE","",5,2,2,91,0.5,65,1,0.5,0,35,0,25,"1",1,"",NA,NA,0,1,11,11,0,"BAF 5",1,70,35,5,55,55,0,110,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300134",2316,"AMERICAN RIVER","6/19/2013 0:00:00","CP, NO, MS",2008,"2869 CP","NAD83 UTM zone 10",704590.12,4339754.02,343,23,"GRANITE","",0.5,0.5,1,74,25,35,10,0,0,25,15,0,"1",4,"",NA,NA,0.5,2,9,1,8,"BAF 40",10,60,25,40,360,40,320,45,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300135",2317,"AMERICAN RIVER","6/19/2013 0:00:00","CP, NO, MS",2008,"2870 CP","NAD83 UTM zone 10",704788.95,4339751.86,340,33,"GRANITE","",0.5,2,1,77,20,5,0,0,0,55,20,20,"1",4,"",NA,NA,1,5,6,1,5,"BAF 40.",0,40,55,40,240,40,200,35,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300136",2318,"AMERICAN RIVER","6/19/2013 0:00:00","CP, MS, NO",2008,"2871 CP","NAD83 UTM zone 10",704988.44,4339762.54,354,29,"GRANITE","",0.5,1,0.5,74,25,55,10,0,0,1,5,0,"1",4,"",NA,NA,NA,NA,NA,NA,NA,"BAF 40",10,65,1,40,0,NA,0,30,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300142",2319,"AMERICAN RIVER","7/1/2013 0:00:00","CP, PB, MS, NO",2008,"142 AMR CPP","NAD83 UTM zone 10",714000,4340058.32,303,19,"GRANITE","",2,4,0.5,93,1,11,20,60,0,5,0,0,"1",1,"",NA,NA,0,1,15,7,8,"BAF 5",80,80,5,5,75,35,40,100,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300143",2320,"AMERICAN RIVER","7/1/2013 0:00:00","CP, PB, MS, NO",2008,"143 AMR CPP","NAD83 UTM zone 10",714214.05,4340059.32,334,23,"GRANITE","",5,2,0.5,85,8,NA,NA,NA,0,1,1,30,"1",3,"",NA,NA,0,1,8,4,4,"",NA,25,1,20,160,80,80,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300151",2321,"AMERICAN RIVER","6/19/2013 0:00:00","CP, MS, NO",2008,"2875 CP","NAD83 UTM zone 10",704980.55,4339962.55,74,35,"GRANITE","",2,0.5,2,86,10,85,5,2,10,35,20,25,"1",3,"",NA,NA,0.5,1,10,3,7,"BAF 40",7,90,40,40,400,120,280,115,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300152",2322,"AMERICAN RIVER","6/19/2013 0:00:00","CP,NO, MS",2008,"2880 CP","NAD83 UTM zone 10",705789.63,4339989.3,5,31,"GRANITE","",5,1,2,77,15,6,6,0.5,30,45,20,40,"1",2,"",NA,NA,0.5,1,6,2,4,"BAF 40",6,50,70,40,240,80,160,50,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300156",2323,"AMERICAN RIVER","7/9/2013 0:00:00","CP, MS, PB, RD",2008,"156 AMR CPP","NAD83 UTM zone 10",712189.71,4340197.99,96,25,"GRANITE","",25,25,0,48,2,5,5,0,0,1,2,0,"1",5,"",NA,NA,0,1,6,0,6,"BAF 5. SALVAGE LOGGING",5,25,1,5,30,0,30,30,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300160",2324,"AMERICAN RIVER","7/1/2013 0:00:00","CP, MS, PB, NO",2008,"160 AMR CPP","NAD83 UTM zone 10",713988.83,4340258.97,319,22,"GRANITE","",1,1,1,93,4,36,6,2,0,6,3,0.5,"1",2,"",NA,NA,0,3,8,7,1,"BAF 10",8,45,6,10,80,70,10,160,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300161",2325,"AMERICAN RIVER","7/1/2013 0:00:00","CP, PB, NP, MS",2008,"161 AMR CPP","NAD83 UTM zone 10",714192.38,4340267.1,14,25,"GRANITE","",5,1,0.5,79,15,0.5,30,0,0,3,0,0,"1",4,"",NA,NA,0,0.5,8,0,8,"",30,30,3,20,160,0,160,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300167",2326,"AMERICAN RIVER","6/19/2013 0:00:00","CP, NO, MS",2008,"2877 CP","NAD83 UTM zone 10",705377.31,4340160.32,16,33,"GRANITE","",20,2,0.5,63,15,70,0,0,0,8,5,0,"1",4,"",NA,NA,0,1,8,0,8,"BAF 40.  MANAGED AREA, CEANOTHUS HAS BEEN CUT, BARE GROUND MAY BE DUE TO MANAGEMENT.",0,72,8,40,320,0,320,56,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300168",2327,"AMERICAN RIVER","6/19/2013 0:00:00","CP, NO, MS",2008,"2879 CP","NAD83 UTM zone 10",705572.5,4340194.03,8,20,"GRANITE","",0.5,2,1,83,15,27,25,0,0.5,35,90,0,"1",4,"",NA,NA,0.5,1,7,1,6,"BAF 40",25,60,55,40,280,40,240,100,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300170",2328,"AMERICAN RIVER","7/8/2013 0:00:00","CP, RD, PB, MS",2008,"5611 RD","NAD83 UTM zone 10",706975.66,4340229.25,333,4,"GRANITE","",0,0,3,96,1,0,0,0.5,0.5,45,5,45,"1",3,"",NA,NA,0,3,12,8,4,"BAF 40",0.5,1,45,40,480,320,160,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300171",2329,"AMERICAN RIVER","7/8/2013 0:00:00","CP, RD, PB, MS",2008,"2922 CP","NAD83 UTM zone 10",707172.65,4340232.33,345,11,"GRANITE","",2,2,0.5,89,7,3,0,0,25,22,5,45,"1",3,"",NA,NA,0,2,8,5,3,"BAF 10",0,18,47,10,80,50,30,21,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300175",2330,"AMERICAN RIVER","6/20/2013 0:00:00","RD, MS, NO",2008,"","NAD83 UTM zone 10",712177.56,4340394.12,110,21,"GRANITE","",1,15,1,83,0,60,5,5,0,5,0,3,"1",2,"",NA,NA,0,1,13,11,2,"BAF 5",10,70,5,5,65,55,10,12,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300176",2331,"AMERICAN RIVER","7/9/2013 0:00:00","CP, MS, PB, RD",2008,"2926 CP","NAD83 UTM zone 10",712383.38,4340905.04,28,19,"GRANITE","",2,5,1,77,15,0,5,0,0,30,0,30,"1",3,"",NA,NA,0,3,12,6,6,"",5,10,30,20,240,120,120,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300177",2332,"AMERICAN RIVER","7/9/2013 0:00:00","CP, MS, PB, RD",2008,"2927 CP","NAD83 UTM zone 10",712583.88,4340413.01,290,38,"GRANITE","",31,30,0.5,35,4,24,5,0,0,1,0,0,"1",3,"",NA,NA,0,1,7,1,6,"BAF 10",5,30,1,10,70,10,60,40,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300178",2333,"AMERICAN RIVER","6/20/2013 0:00:00","RD, MS, NO",2008,"5547 RD","NAD83 UTM zone 10",712780.52,4340414.83,90,35,"GRANITE","",2,2,1,85,10,2,1,0,0,30,2,30,"1",2,"",NA,NA,1.5,2,8,3,5,"BAF 40",1,3,30,40,320,120,200,11,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300192",2334,"AMERICAN RIVER","6/20/2013 0:00:00","NO, MS, RD",2008,"5555 RD","NAD83 UTM zone 10",711779.45,4340583.37,55,38,"GRANITE","",2,20,1,76,1,12,10,0,0,0.5,10,0,"1",5,"",NA,NA,0,1,7,0,7,"",10,15,0.5,20,140,0,140,15,67.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300193",2335,"AMERICAN RIVER","6/12/2013 0:00:00","NO, MS, RD",2008,"5553 RD","NAD83 UTM zone 10",712174.26,4340597.12,16,19,"GRANITE","",1,2,1,82,15,30,0,1,0,50,0,50,"1",3,"",NA,NA,0,1,8,6,2,"BAF 5",1,30,50,5,40,30,10,120,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300194",2336,"AMERICAN RIVER","6/20/2013 0:00:00","NO, MS, RD",2008,"","NAD83 UTM zone 10",712781.5,4340629.1,272,24,"GRANITE","",10,3,1,82,4,10,2,0,0,1,18,0,"1",4,"",NA,NA,0,1,7,1,6,"",2,12,1,20,140,20,120,50,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300195",2337,"AMERICAN RIVER","6/20/2013 0:00:00","NO, MS, RD",2008,"5536 RD","NAD83 UTM zone 10",713370.54,4340633.33,30,35,"GRANITE","",0,3,1,95,1,9,1,0,0,1,35,0,"1",4,"",NA,NA,0,1,9,1,8,"BAF 40",1,10,1,40,360,40,320,70,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300196",2338,"AMERICAN RIVER","6/20/2013 0:00:00","NO, MS, RD",2008,"5534 RD","NAD83 UTM zone 10",713573.81,4340641.73,66,19,"GRANITE","",1,1,1,94,3,25,5,0,0,0.5,50,0,"1",4,"",NA,NA,0,1,8,0,8,"BAF 40",5,40,0.5,40,320,0,320,65,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300204",2339,"AMERICAN RIVER","6/18/2013 0:00:00","CP, NO, MS",2008,"2857 CP","NAD83 UTM zone 10",710571.65,4340751.37,244,30,"GRANITE","",0.5,20,1,59,20,8,10,1,0,15,30,10,"1",4,"",NA,NA,0,1,6,1,5,"BAF 40",10,25,15,40,240,40,200,50,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300205",2340,"AMERICAN RIVER","6/18/2013 0:00:00","CP, NO, MS",2008,"2858 CP","NAD83 UTM zone 10",710769.1,4340752.01,282,24,"GRANITE","",1,25,1,72,1,25,1,5,0,25,0,25,"1",2,"",NA,NA,0,2,6,6,0,"",6,30,25,20,120,120,0,40,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300206",2341,"AMERICAN RIVER","6/18/2013 0:00:00","CP, NO, MS",2008,"2867 CP","NAD83 UTM zone 10",711167.4,4340764.8,257,13,"GRANITE","",10,25,0.5,57,8,28,25,1,0,3,0,0,"1",3,"",NA,NA,0,1,3,3,0,"BAF 5. MAY BE PLANTED/ MANAGED, SNAGS REMOVED.  SOME SEEDLINGS NEEDLES HAVE TURNED BROWN AS IF FROM GLYPHOSATE DAMAGE.",26,50,3,5,15,15,0,18,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300209",2342,"AMERICAN RIVER","7/3/2013 0:00:00","CP, MS, PB, NO",2008,"976 NO","NAD83 UTM zone 10",715370.79,4340908.32,208,38,"GRANITE","",10,25,1,62,2,16,8,0.5,0,25,0,25,"1",2,"",NA,NA,0.5,2,7,6,1,"BAF 5",8,25,25,5,35,30,5,50,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300222",2343,"AMERICAN RIVER","6/18/2013 0:00:00","CP, MS,NO",2008,"2866 CP","NAD83 UTM zone 10",714161.28,4340965.2,222,13,"GRANITE","",10,25,1,59,5,33,20,1,0,6,0,0,"1",3,"",NA,NA,0,0.5,6,4,2,"BAF 5. NEAR A ROAD, MANAGED AREA.",21,50,6,5,30,20,10,18,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300235",2344,"AMERICAN RIVER","6/18/2013 0:00:00","CP, NO, MS",2008,"2864 CP","NAD83 UTM zone 10",711152.13,4341165.52,95,11,"GRANITE","",2,40,0.5,57,1,20,8,3,0,0,0,0,"1",4,"",NA,NA,0,1,6,2,4,"BAF 10",11,30,0,10,60,20,40,18,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300236",2345,"AMERICAN RIVER","7/9/2013 0:00:00","CP, MS, RD, PB",2008,"236 AMR CPP","NAD83 UTM zone 10",711558.66,4341176.32,62,45,"GRANITE","",30,50,0.5,19,0.5,18,1,0,0,0,0,0,"1",4,"",NA,NA,0,0,NA,NA,NA,"BA NR",1,15,0,20,0,NA,0,22,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300247",2346,"AMERICAN RIVER","7/31/2013 0:00:00","CP, MS, NO, PB",2008,"247 AMR CPP","NAD83 UTM zone 10",710156.48,4341331.2,292,14,"GRANITE","",2,1,0.5,93,5,6,35,0.5,0,1,8,0,"1",5,"",NA,NA,0,2,10,0,10,"",35,40,1,20,200,0,200,55,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300253",2347,"AMERICAN RIVER","7/3/2013 0:00:00","CP, NO, MS, PB",2008,"253 AMR CPP","NAD83 UTM zone 10",709339.22,4341505.87,295,45,"GRANITE","",10,5,0.5,82,3,45,10,0.5,0,25,5,0,"1",5,"",NA,NA,0,1,19,0,19,"",5,65,2,20,380,0,380,45,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMR1300255",2348,"AMERICAN RIVER","7/9/2013 0:00:00","CP, RD, MS, PB",2008,"255 AMR CPP","NAD83 UTM zone 10",712143.39,4341598.07,306,15,"GRANITE","",3,0.5,0.5,93,4,1,85,0,0,0,0,0,"1",3,"",NA,NA,0,1,0,0,0,"HIGHLY MANAGED, SALVAGE LOGGING: STUMPS EVERYWHERE",85,85,0,20,0,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
